A,elt,Z,S(n),S(p),Q(4B-),"Q(d,a)","Q(p,a)","Q(n,a)"
197,Hg,80,6785 61,1 48,6690 49,3 40,17182 24,49 78
197,Tl,81,8916 37,20 33,3804 68,16 59,21986 40,18 17
197,Pb,82,7468 41,9 05,4537 78,13 03,26255 75,16 89
197,Bi,83,9749 48,25 81,1627 85,11 35,29941 16,55 04
197,Po,84,7956 27,51 48,2637 93,55 36,*,38 49
197,At,85,10511 89,31 32,171 18,15 69,*,81 38
197,Rn,86,8531 96,21 67,1863 94,34 34,*,45 18
197,Fr,87,*,01 56,28 *,15914 50,74 23,9394 53
0198,Re,75,4709 499,9289 566,12441 401,12452 566,8734 499,*
198,Os,76,6600 277,10624 357,7117 196,9416 357,6606 357,2819 357
198,Ir,77,5628 197,7801 277,1708 196,13167 200,8555 203,5404 357
198,Pt,78,7555 57,2 06,8928 86,20 00,3836 51,9 00
198,Au,79,6512 36,0 09,6450 00,0 51,10211 29,27 95
198,Hg,80,8485 40,3 19,7103 54,0 50,15480 96,17 43
198,Tl,81,7258 41,17 98,4277 49,8 20,20814 23,9 56
198,Pb,82,9393 41,9 96,5014 81,18 51,24837 13,15 99
198,Bi,83,7753 61,29 16,1913 06,28 35,28943 51,42 65
198,Po,84,10186 68,52 65,3075 13,19 31,*,48 30
198,At,85,8430 58,9 91,645 49,50 02,*,33 14
198,Rn,86,10812 03,21 02,2164 08,15 61,*,12 33
198,Fr,87,8751 26,63 23,774 70,36 06,*,84 35
0199,Re,75,5792 566,*,401 10990,566 8884,566 *,
199,Os,76,4718 277,10633 446,9063 196,10729 357,6923 357,4043 446
199,Ir,77,6649 200,7851 200,3660 88,49 66,11621 200,8742 65
199,Pt,78,5556 00,0 50,8857 196,2156 88,10 23,11586 23
199,Au,79,7584 28,0 06,6478 71,2 06,8296 18,10 58
199,Hg,80,6663 07,0 58,7254 26,0 61,14337 59,18 06
199,Tl,81,8601 96,28 95,4394 05,27 95,19236 02,28 46
199,Pb,82,7235 63,13 28,4992 03,12 52,23732 35,38 89
199,Bi,83,9499 40,29 88,2019 05,13 71,27568 96,17 32
199,Po,84,7806 45,25 08,3127 97,33 27,*,51 19
199,At,85,10180 18,7 96,638 99,18 24,*,42 49
199,Rn,86,8340 41,39 91,2073 91,38 04,*,61 38
199,Fr,87,10873 95,35 02,712 78,19 20,*,85 21
0200,Os,76,6367 357,11208 499,10724 298,9071 499,6587 422,2007 499
200,Ir,77,5283 200,8416 277,5437 196,12937 277,8562 277,4538 357
200,Pt,78,7281 79,20 01,9489 62,45 62,348 11,22 89
200,Au,79,6217 67,26 72,7140 38,26 80,6869 34,34 81
200,Hg,80,8028 52,0 11,7698 50,0 62,12561 51,7 58
200,Tl,81,7059 15,28 53,4790 13,5 74,18059 34,25 13
200,Pb,82,9090 57,14 81,5480 63,30 01,22246 29,17 47
200,Bi,83,7644 51,24 70,2427 92,24 46,26503 25,37 88
200,Po,84,9804 60,19 56,3433 17,12 98,*,53 28
200,At,85,8235 84,25 05,1068 38,30 41,*,27 30
200,Rn,86,10576 63,40 00,2470 36,14 70,*,55 14
200,Fr,87,8710 21,33 55,342 98,48 48,*,66 33
0201,Os,76,4532 422,*,298 10332,499 6764,499 *,
201,Ir,77,6357 277,8407 357,7284 196,11298 277,8804 277,2889 446
201,Pt,78,5212 87,53 99,9419 202,1530 32,51 95,11368 61
201,Au,79,7231 94,26 91,7090 52,20 36,4984 28,15 52
201,Hg,80,6230 59,0 59,7711 42,26 72,11141 36,4 97
201,Tl,81,8204 93,15 30,4966 54,14 19,16391 40,16 38
201,Pb,82,7091 30,17 55,5512 78,14 90,21198 71,51 60
201,Bi,83,9117 00,27 00,2454 35,18 69,25005 01,17 69
201,Po,84,7650 74,9 01,3439 40,22 86,28457 99,20 89
201,At,85,9872 86,25 80,1136 65,11 15,*,85 19
201,Rn,86,8138 88,51 58,2373 40,55 42,*,85 50
201,Fr,87,10615 24,31 93,304 37,16 42,*,83 38
201,Ra,88,*,67 36,73 *,15876 21,24 51,7226 83
0202,Os,76,5920 499,*,401 *,6637 566,*,
202,Ir,77,4951 357,8826 422,9204 298,12714 422,8571 357,3730 499
202,Pt,78,7022 73,56 06,10084 197,3248 49,25 44,9629 197
202,Au,79,6023 58,23 51,7901 24,55 25,3611 50,27 92
202,Hg,80,7754 10,0 20,8233 58,3 14,9403 71,8 67
202,Tl,81,6870 70,14 23,5606 64,1 64,15389 48,28 02
202,Pb,82,8740 89,14 26,6048 75,14 67,19665 98,17 92
202,Bi,83,7396 37,21 56,2759 42,20 64,23837 72,16 93
202,Po,84,9491 75,9 96,3814 15,17 47,27016 48,17 32
202,At,85,7872 61,29 15,1358 52,28 41,*,84 28
202,Rn,86,10273 63,52 73,2774 17,19 34,*,06 30
202,Fr,87,8563 66,11 49,120 41,50 23,*,81 15
202,Ra,88,10933 26,25 25,1802 69,17 55,*,17 34
0203,Os,76,2624 566,*,401 *,*,,
203,Ir,77,5985 499,8891 566,11072 401,11260 499,8953 499,*
203,Pt,78,5006 197,10139 357,5160 196,10981 277,6848 277,4799 357
203,Au,79,6861 77,23 49,7740 28,25 34,1618 61,13 14
203,Hg,80,5995 26,1 57,8205 26,23 34,7958 38,8 81
203,Tl,81,7852 48,1 55,5705 02,1 08,13598 82,10 62
