N-Z,N,Z,A,EL,O,MASS EXCESS (keV),BINDING ENERGY/A (keV),BETA-DECAY ENERGY (keV),ATOMIC MASS (micro-u)
14,,37,23,V,-33241,,220.159,8325.4,50    3.669 B-  13427
12,,36,24,Cr,-46669,,193.593,8536.2,05    3.227 B-   6298
10,,35,25,Mn,-52967,,2.329,8628.1,38    0.039 B-   8445
8,,34,26,Fe,-nn,,3.409,8755.8,51    0.057 B-    237
6,,33,27,Co,-n,,0.424,8746.7,66    0.007 B-   2822
4,,32,28,Ni,-64473,-64473.118,0.376,8780.7,74    0.006 B-  -6127
2,,31,29,Cu,-58345,,1.618,8665.6,02    0.027 B-  -4170
0,,30,30,Zn,-54174,-54174.34,0.564,8583.0,50    0.009 B- -14584
0 19,,40,21,Sc,,,600#,7787#,10#    B-  17281
17,,39,22,Ti,-16350,,400#,8057#,7#    B-  14157
15,,38,23,V,-30506,,894.234,8276.4,39   14.660 B-  11968
13,,37,24,Cr,-42475,,101.341,8459.8,24    1.661 B-   9266
11,,36,25,Mn,-51742,,2.329,8598.9,15    0.038 B-   7178
9,,35,26,Fe,-58920,,2.608,8703.7,68    0.043 B-   3977
7,,34,27,Co,-62898,,0.846,8756.1,48    0.014 B-   1323
5,,33,28,Ni,-64221,-64221.905,0.378,8765.0,25    0.006 B-  -2237
3,,32,29,Cu,-61984,,0.953,8715.5,14    0.016 B-  -5635
1,,31,30,Zn,-56348,-56348.903,15.899,8610.3,09    0.261 B-  -9214
0 18,,40,22,Ti,-12500,,400#,7995#,6#    B-  12977
16,,39,23,V,-25476,,298#,8192#,5#    B-  15419
14,,38,24,Cr,-40894,,148.099,8428.0,69    2.389 B-   7628
12,,37,25,Mn,-48523,,6.542,8538.4,99    0.106 B-  10354
10,,36,26,Fe,-58878,,2.794,8692.8,82    0.045 B-   2546
8,,35,27,Co,-61424,,18.575,8721.3,32    0.300 B-   5322
6,,34,28,Ni,-66746,-66746.323,0.439,8794.5,53    0.007 B-  -3958
4,,33,29,Cu,-62787,,0.647,8718.0,81    0.010 B-  -1619
2,,32,30,Zn,-61167,-61167.972,0.625,8679.3,43    0.010 B-  -9181
0,,31,31,Ga,-51986,-51986.906,0.647,8518.6,42    0.010 B- -10247
0 19,,41,22,Ti,-5750,,500#,7889#,8#    B-  16140
17,,40,23,V,-21890,,400#,8133#,6#    B-  14117
15,,39,24,Cr,-36007,,358.073,8344.8,28    5.684 B-  10879
13,,38,25,Mn,-46887,,3.726,8505.1,01    0.059 B-   8748
11,,37,26,Fe,-55635,-55635.621,4.302,8631.5,49    0.068 B-   6215
9,,36,27,Co,-61851,-61851.44,18.575,8717.7,95    0.295 B-   3661
7,,35,28,Ni,-65512,-65512.775,0.440,8763.4,93    0.007 B-     66
5,,34,29,Cu,-65579,-65579.752,0.440,8752.1,38    0.007 B-  -3366
3,,33,30,Zn,-62213,-62213.397,1.561,8686.2,85    0.025 B-  -5666
1,,32,31,Ga,-56547,,1.304,8583.9,26    0.021 B-  -9625
0 20,,42,22,Ti,-1025,,600#,7818#,9#    B-  15295
18,,41,23,V,-16320,,400#,8045#,6#    B-  17160
16,,40,24,Cr,-33479,,439.665,8301.0,58    6.870 B-   9509
14,,39,25,Mn,-42989,,3.540,8437.4,17    0.055 B-  11980
12,,38,26,Fe,-54969,,5.017,8612.3,88    0.078 B-   4822
10,,37,27,Co,-59792,,20.006,8675.5,20    0.313 B-   7306
8,,36,28,Ni,-67098,-67098.921,0.475,8777.4,61    0.007 B-  -1674
6,,35,29,Cu,-65424,-65424.545,0.448,8739.0,75    0.007 B-    579
4,,34,30,Zn,-66004,-66004.014,0.647,8735.9,05    0.010 B-  -7171
2,,33,31,Ga,-58832,-58832.821,1.429,8611.6,31    0.022 B-  -4517
0,,32,32,Ge,-54315,,3.726,8528.8,23    0.058 B- -14783
0 19,,42,23,V,-11780,,500#,7976#,8#    B-  16440
17,,41,24,Cr,-28220,,300#,8217#,5#    B-  12748
15,,40,25,Mn,-40967,,3.726,8400.6,81    0.057 B-  10250
13,,39,26,Fe,-51217,,5.112,8546.3,46    0.079 B-   7967
11,,38,27,Co,-59185,,2.083,8656.8,84    0.032 B-   5940
9,,37,28,Ni,-n,,0.495,8736.2,40    0.008 B-   2137
7,,36,29,Cu,-67263,-67263.66,0.650,8757.0,96    0.010 B-  -1351
5,,35,30,Zn,-65912,-65912.019,0.650,8724.2,65    0.010 B-  -3254
3,,34,31,Ga,-62657,-62657.507,0.815,8662.1,60    0.013 B-  -6179
1,,33,32,Ge,-56478,-56478.216,2.165,8555.0,58    0.033 B-  -9541
0 20,,43,23,V,-5610,,500#,7884#,8#    B-  19110
18,,42,24,Cr,-24720,,400#,8161#,6#    B-  12030
16,,41,25,Mn,-36750,,11.178,8331.7,98    0.169 B-  13317
14,,40,26,Fe,-50067,,4.099,8521.7,24    0.062 B-   6340
12,,39,27,Co,-56408,,13.972,8605.9,41    0.212 B-   9597
10,,38,28,Ni,-66006,,1.397,8739.5,08    0.021 B-    251
8,,37,29,Cu,-66258,-66258.272,0.655,8731.4,72    0.010 B-   2640
6,,36,30,Zn,-68899,-68899.16,0.749,8759.6,32    0.011 B-  -5175
4,,35,31,Ga,-63723,,1.096,8669.3,61    0.017 B-  -2116
2,,34,32,Ge,-61607,,2.401,8625.4,37    0.036 B-  -9581
0,,33,33,As,-52025,,5.682,8468.4,03    0.086 B- -10365
0 21,,44,23,V,-650,,600#,7812#,9#    B-  18030
19,,43,24,Cr,-18680,,400#,8070#,6#    B-  14780
17,,42,25,Mn,-33460,,300#,8279#,4#    B-  12150
15,,41,26,Fe,-45610,,270.285,8448.4,69    4.034 B-   9711
13,,40,27,Co,-55321,,6.443,8581.7,41    0.096 B-   8420
11,,39,28,Ni,-63742,,2.888,8695.7,50    0.043 B-   3576
9,,38,29,Cu,-67319,-67319.513,0.894,8737.4,58    0.013 B-    560
7,,37,30,Zn,-67880,-67880.313,0.760,8734.1,52    0.011 B-  -1001
5,,36,31,Ga,-66879,-66879.048,1.181,8707.5,31    0.018 B-  -4220
3,,35,32,Ge,-n2p,,4.661,8632.8,57    0.070 B-  -6071
1,,34,33,As,-56587,-56587.225,0.443,8530.5,68    0.007 B- -10006
0 20,,44,24,Cr,-14800,,500#,8013#,7#    B-  13580
18,,43,25,Mn,-28380,,400#,8201#,6#    B-  15107
16,,42,26,Fe,-43486,,365.259,8411.6,98    5.371 B-   8443
14,,41,27,Co,-51930,,189.497,8524.3,66    2.787 B-  11533
12,,40,28,Ni,-63463,,2.981,8682.4,66    0.044 B-   2103
10,,39,29,Cu,-65567,,1.584,8701.8,90    0.023 B-   4440
8,,38,30,Zn,-70007,-70007.092,0.784,8755.6,80    0.012 B-  -2921
6,,37,31,Ga,-67085,,1.433,8701.2,18    0.021 B-   -107
4,,36,32,Ge,-66978,,1.876,8688.1,36    0.028 B-  -8084
2,,35,33,As,-58894,-58894.519,1.846,8557.7,45    0.027 B-  -4705
0,,34,34,Se,-54189,,0.496,8477.0,47    0.007 B- -15398
0 21,,45,24,Cr,-8580,,500#,7924#,7#    B-  16190
19,,44,25,Mn,-24770,,400#,8147#,6#    B-  14259
17,,43,26,Fe,-39030,,400#,8342#,6#    B-  11250
15,,42,27,Co,-50279,,140.506,8493.8,65    2.036 B-   9699
13,,41,28,Ni,-59978,,3.726,8623.0,99    0.054 B-   5757
11,,40,29,Cu,-65736,,1.397,8695.2,04    0.020 B-   2681
9,,39,30,Zn,-n,,0.800,8722.7,29    0.012 B-    909
7,,38,31,Ga,-69327,-69327.809,1.197,8724.5,79    0.017 B-  -2227
5,,37,32,Ge,-67100,-67100.663,1.318,8680.9,63    0.019 B-  -3988
3,,36,33,As,-63112,-63112.171,31.999,8611.8,21    0.464 B-  -6677
1,,35,34,Se,-56434,-56434.706,1.490,8503.7,07    0.022 B- -10175
0 22,,46,24,Cr,-4480,,600#,7867#,9#    B-  15020
20,,45,25,Mn,-19500,,500#,8070#,7#    B-  17010
18,,44,26,Fe,-36510,,400#,8302#,6#    B-  10120
16,,43,27,Co,-46630,,300#,8436#,4#    B-  12584
14,,42,28,Ni,-59213,,2.144,8604.2,91    0.031 B-   3762
12,,41,29,Cu,-62976,,1.082,8646.8,65    0.015 B-   6588
10,,40,30,Zn,-69564,-69564.735,1.918,8729.8,08    0.027 B-   -654
8,,39,31,Ga,-68910,-68910.14,1.201,8709.2,80    0.017 B-   1651
6,,38,32,Ge,-70561,-70561.876,0.838,8721.7,00    0.012 B-  -6220
4,,37,33,As,-64341,,50.007,8621.6,66    0.714 B-  -2411
2,,36,34,Se,-61929,,1.584,8576.0,33    0.023 B- -10504
0,,35,35,Br,-51425,,14.904,8414.7,96    0.213 B- -10325
0 21,,46,25,Mn,-15570,,500#,8015#,7#    B-  15860
19,,45,26,Fe,-31430,,400#,8227#,6#    B-  12940
17,,44,27,Co,-44369,,465.030,8398.7,34    6.550 B-  11036
15,,43,28,Ni,-55406,,2.237,8543.1,56    0.032 B-   7304
13,,42,29,Cu,-62711,,1.490,8635.0,22    0.021 B-   4617
11,,41,30,Zn,-67328,-67328.777,2.654,8689.0,41    0.037 B-   2810
9,,40,31,Ga,-70139,-70139.135,0.812,8717.6,04    0.011 B-   -232
7,,39,32,Ge,-69906,-69906.497,0.834,8703.3,09    0.012 B-  -2013
5,,38,33,As,-67893,,4.167,8663.9,32    0.059 B-  -4746
3,,37,34,Se,-63146,,2.794,8586.0,60    0.039 B-  -6644
1,,36,35,Br,-56502,-56502.418,5.402,8481.4,62    0.076 B- -10175
0 22,,47,25,Mn,-9900,,600#,7937#,8#    B-  18530
20,,46,26,Fe,-28430,,500#,8184#,7#    B-  11769
18,,45,27,Co,-40200,,400#,8336#,6#    B-  14027
16,,44,28,Ni,-54226,,2.237,8520.2,11    0.031 B-   5556
14,,43,29,Cu,-59782,,1.397,8586.5,25    0.019 B-   8362
12,,42,30,Zn,-68145,,2.142,8691.8,05    0.030 B-    442
10,,41,31,Ga,-68588,-68588.293,0.819,8687.0,89    0.011 B-   3997
8,,40,32,Ge,-72585,-72585.9,0.076,8731.7,45    0.001 B-  -4356
6,,39,33,As,-68229,,4.083,8660.3,78    0.057 B-   -361
4,,38,34,Se,-67868,,1.956,8644.4,89    0.027 B-  -8806
2,,37,35,Br,-59061,,1.025,8511.3,12    0.014 B-  -5121
0,,36,36,Kr,-53940,,8.011,8429.3,19    0.111 B- -15611
0 21,,47,26,Fe,-22900,,500#,8106#,7#    B-  14518
19,,46,27,Co,-37418,,400#,8295#,5#    B-  12690
17,,45,28,Ni,-50108,,2.423,8457.6,52    0.033 B-   8879
15,,44,29,Cu,-58987,-58987.437,1.942,8568.5,69    0.027 B-   6605
13,,43,30,Zn,-65593,,1.863,8648.3,45    0.026 B-   4105
11,,42,31,Ga,-69699,,1.677,8693.8,73    0.023 B-   1598
9,,41,32,Ge,-71297,-71297.523,0.057,8705.0,49    0.001 B-   -344
7,,40,33,As,-70952,-70952.747,3.853,8689.6,09    0.053 B-  -2725
5,,39,34,Se,-68227,-68227.387,7.424,8641.5,58    0.102 B-  -4579
3,,38,35,Br,-63647,,7.266,8568.1,03    0.100 B-  -7095
1,,37,36,Kr,-56551,,6.578,8460.1,84    0.090 B- -10470
0 22,,48,26,Fe,-19590,,600#,8061#,8#    B-  13230
20,,47,27,Co,-32820,,500#,8229#,7#    B-  15636
18,,46,28,Ni,-48456,,196#,8430#,3#    B-   7550
16,,45,29,Cu,-56006,,6.148,8521.5,62    0.083 B-   9750
14,,44,30,Zn,-65756,,2.515,8642.7,54    0.034 B-   2292
12,,43,31,Ga,-68049,,2.994,8663.1,67    0.040 B-   5372
10,,42,32,Ge,-73422,-73422.442,0.013,8725.2,00    0.000 B-  -2562
8,,41,33,As,-70860,-70860.054,1.693,8680.0,01    0.023 B-   1353
6,,40,34,Se,-72213,-72213.201,0.015,8687.7,15    0.000 B-  -6925
4,,39,35,Br,-65288,-65288.153,5.835,8583.5,61    0.079 B-  -2956
2,,38,36,Kr,-62331,-62331.836,2.013,8533.0,38    0.027 B- -10415
0,,37,37,Rb,-51916,-51916.009,3.027,8381.7,12    0.041 B- -11089
0 23,,49,26,Fe,-13640,,600#,7982#,8#    B-  16010
21,,48,27,Co,-29649,,500#,8185#,7#    B-  14380
19,,47,28,Ni,-44030,,300#,8366#,4#    B-  10441
17,,46,29,Cu,-54471,,2.330,8495.0,94    0.031 B-   8087
15,,45,30,Zn,-62558,,1.956,8592.4,97    0.026 B-   5905
13,,44,31,Ga,-68464,,2.422,8660.8,08    0.032 B-   3392
11,,43,32,Ge,-n,,0.052,8695.6,09    0.001 B-   1177
9,,42,33,As,-73034,-73034.195,0.884,8700.8,74    0.012 B-   -864
7,,41,34,Se,-72169,-72169.481,0.073,8678.9,13    0.001 B-  -3062
5,,40,35,Br,-69107,,4.285,8627.6,49    0.057 B-  -4783
3,,39,36,Kr,-64323,,8.104,8553.4,39    0.108 B-  -7104
1,,38,37,Rb,-57218,,1.180,8448.2,75    0.016 B- -10600
0 22,,49,27,Co,-24510,,600#,8116#,8#    B-  17120
20,,48,28,Ni,-41630,,400#,8331#,5#    B-   9346
18,,47,29,Cu,-50975,,6.707,8443.5,27    0.088 B-  11327
16,,46,30,Zn,-62303,-62303.016,1.456,8582.2,73    0.019 B-   3993
14,,45,31,Ga,-66296,,1.956,8624.5,26    0.026 B-   6916
12,,44,32,Ge,-73212,-73212.889,0.018,8705.2,36    0.000 B-   -921
10,,43,33,As,-n,,0.886,8682.8,16    0.012 B-   2960
8,,42,34,Se,-75251,-75251.95,0.016,8711.4,77    0.000 B-  -4962
6,,41,35,Br,-70289,,9.322,8635.8,82    0.123 B-  -1275
4,,40,36,Kr,-69013,-69013.714,4.013,8608.8,07    0.053 B-  -8534
2,,39,37,Rb,-60479,,0.938,8486.2,15    0.012 B-  -6231
0,,38,38,Sr,-54247,,34.465,8393.9,29    0.453 B- -15768
0 23,,50,27,Co,-21015,,600#,8070#,8#    B-  15785
21,,49,28,Ni,-36800,,500#,8265#,6#    B-  11824
19,,48,29,Cu,-48624,,149#,8408#,2#    B-  10165
17,,47,30,Zn,-58789,-58789.195,1.973,8530.0,03    0.026 B-   7203
15,,46,31,Ga,-65992,,2.422,8613.3,90    0.031 B-   5220
13,,45,32,Ge,-n,,0.053,8671.0,28    0.001 B-   2703
11,,44,33,As,-73916,-73916.318,1.693,8695.9,78    0.022 B-    683
9,,43,34,Se,-74599,-74599.488,0.062,8694.6,90    0.001 B-  -1364
7,,42,35,Br,-73234,,2.811,8666.8,06    0.037 B-  -3065
5,,41,36,Kr,-70169,,1.956,8616.8,36    0.025 B-  -5338
3,,40,37,Rb,-64830,,1.304,8537.3,39    0.017 B-  -7027
1,,39,38,Sr,-57803,,7.918,8435.9,18    0.103 B- -11365
0 22,,50,28,Ni,-33890,,600#,8225#,8#    B-  10608
20,,49,29,Cu,-44497,,503.007,8350.9,25    6.449 B-  12985
18,,48,30,Zn,-57483,-57483.235,1.944,8507.3,79    0.025 B-   6222
16,,47,31,Ga,-63705,-63705.95,1.903,8577.1,27    0.024 B-   8156
14,,46,32,Ge,-nn,,3.536,8671.6,63    0.045 B-    954
12,,45,33,As,-72816,,9.781,8673.8,75    0.125 B-   4209
10,,44,34,Se,-77025,-77025.944,0.179,8717.8,06    0.002 B-  -3573
8,,43,35,Br,-73452,,3.580,8661.9,59    0.046 B-    726
6,,42,36,Kr,-74178,-74178.275,0.307,8661.2,38    0.004 B-  -7242
4,,41,37,Rb,-66935,,3.237,8558.3,50    0.042 B-  -3761
2,,40,38,Sr,-63173,,7.452,8500.0,96    0.096 B- -11001
0,,39,39,Y,-52173,,298#,8349#,4#    B- -11323
0 23,,51,28,Ni,-27570,,600#,8143#,8#    B-  14170
21,,50,29,Cu,-41740,,300#,8312#,4#    B-  11692
19,,49,30,Zn,-53432,-53432.295,2.225,8450.5,82    0.028 B-   9115
17,,48,31,Ga,-62547,-62547.679,1.868,8556.0,63    0.024 B-   6978
15,,47,32,Ge,-69526,-69526.592,37.181,8634.5,01    0.471 B-   4109
13,,46,33,As,-73636,-73636.049,5.328,8676.6,16    0.067 B-   2281
11,,45,34,Se,-n,,0.223,8695.5,92    0.003 B-    150
9,,44,35,Br,-76068,,1.021,8687.5,94    0.013 B-  -1625
7,,43,36,Kr,-74442,,3.486,8657.1,12    0.044 B-  -3639
5,,42,37,Rb,-70802,,2.142,8601.1,42    0.027 B-  -5326
3,,41,38,Sr,-65476,,8.383,8523.8,20    0.106 B-  -7659
1,,40,39,Y,-57817,,79.177,8416.9,67    1.002 B- -11048
0 24,,52,28,Ni,-22630,,700#,8080#,9#    B-  13570
22,,51,29,Cu,-36200,,400#,8240#,5#    B-  15449
20,,50,30,Zn,-51648,-51648.612,2.585,8423.5,45    0.032 B-   7575
18,,49,31,Ga,-59223,,2.891,8508.4,54    0.036 B-  10311
16,,48,32,Ge,-69535,,2.054,8627.5,70    0.026 B-   2679
14,,47,33,As,-72214,,3.333,8651.2,80    0.042 B-   5544
12,,46,34,Se,-77759,-77759.457,0.963,8710.8,13    0.012 B-  -1870
10,,45,35,Br,-75888,,1.012,8677.6,53    0.013 B-   2004
8,,44,36,Kr,-77893,-77893.346,0.691,8692.9,28    0.009 B-  -5717
6,,43,37,Rb,-72175,,1.863,8611.6,75    0.023 B-  -1864
4,,42,38,Sr,-70311,,3.464,8578.5,96    0.043 B-  -9163
2,,41,39,Y,-61148,,6.242,8454.2,75    0.078 B-  -6788
0,,40,40,Zr,-54360,,300#,8360#,4#    B- -15940
0 23,,52,29,Cu,-31420,,500#,8179#,6#    B-  14779
21,,51,30,Zn,-46199,,5.030,8351.9,25    0.062 B-  11428
19,,50,31,Ga,-57627,,3.264,8483.3,57    0.040 B-   8663
17,,49,32,Ge,-66291,,2.055,8580.6,58    0.025 B-   6241
15,,48,33,As,-72533,-72533.304,2.644,8648.0,56    0.033 B-   3855
13,,47,34,Se,-76388,-76388.988,0.992,8685.9,99    0.012 B-   1588
11,,46,35,Br,-77977,-77977.034,0.978,8695.9,46    0.012 B-   -280
9,,45,36,Kr,-77696,-77696.181,1.074,8682.8,20    0.013 B-  -2239
7,,44,37,Rb,-75456,-75456.67,4.904,8645.5,13    0.061 B-  -3928
5,,43,38,Sr,-71528,,3.128,8587.3,54    0.039 B-  -5815
3,,42,39,Y,-65712,,5.405,8505.9,02    0.067 B-  -8252
1,,41,40,Zr,-57460,,94.081,8394.3,58    1.161 B- -11100
0 24,,53,29,Cu,-25320,,600#,8103#,7#    B-  16994
22,,52,30,Zn,-42313,,3.074,8301.1,17    0.037 B-  10616
20,,51,31,Ga,-52930,,2.426,8421.0,49    0.030 B-  12484
18,,50,32,Ge,-65415,,2.241,8563.7,56    0.027 B-   4690
16,,49,33,As,-70105,,3.729,8611.4,14    0.045 B-   7488
14,,48,34,Se,-77593,-77593.882,0.467,8693.1,96    0.006 B-    -95
12,,47,35,Br,-77498,-77498.661,0.971,8682.4,94    0.012 B-   3093
10,,46,36,Kr,-80591,-80591.785,15    0.0054,9   8710.6,75    0.000 B-  -4403
8,,45,37,Rb,-76187,,3.009,8647.4,27    0.037 B-   -177
6,,44,38,Sr,-76010,-76010.053,5.992,8635.7,18    0.073 B-  -7945
4,,43,39,Y,-68064,,5.499,8529.2,75    0.067 B-  -4432
2,,42,40,Zr,-63631,,11.178,8465.6,76    0.136 B- -11541
0,,41,41,Nb,-52090,,300#,8315#,4#    B- -11720
0 23,,53,30,Zn,-36290,,300#,8226#,4#    B-  12967
21,,52,31,Ga,-49257,,2.613,8372.5,75    0.031 B-  11719
19,,51,32,Ge,-60976,,2.427,8504.3,45    0.029 B-   8692
17,,50,33,As,-69669,,2.799,8599.6,53    0.034 B-   5671
15,,49,34,Se,-n,,3.036,8658.5,55    0.037 B-   3673
13,,48,35,Br,-79013,-79013.709,3.795,8693.3,84    0.046 B-    976
11,,47,36,Kr,-79990,-79990.633,0.009,8695.7,29    0.000 B-   -920
9,,46,37,Rb,-79070,-79070.63,2.329,8675.2,18    0.028 B-  -2273
7,,45,38,Sr,-76797,-76797.606,6.834,8638.4,07    0.082 B-  -4591
5,,44,39,Y,-72205,,18.631,8573.6,56    0.224 B-  -6294
3,,43,40,Zr,-65911,,6.430,8488.3,99    0.077 B-  -8355
1,,42,41,Nb,-57556,,150.902,8378.3,04    1.818 B- -11216
0 24,,54,30,Zn,-31930,,400#,8172#,5#    B-  12158
22,,53,31,Ga,-44088,,200#,8307#,2#    B-  14061
20,,52,32,Ge,-58148,,3.171,8465.5,24    0.038 B-   7705
18,,51,33,As,-65853,,3.171,8547.9,38    0.038 B-  10094
16,,50,34,Se,-75947,-75947.721,1.961,8658.7,93    0.023 B-   1835
14,,49,35,Br,-77783,-77783.084,25.730,8671.3,29    0.306 B-   4656
12,,48,36,Kr,-82439,-82439.335,10    0.0037,9   8717.4,46    0.000 B-  -2680
10,,47,37,Rb,-79758,-79758.964,2.194,8676.2,24    0.026 B-    890
8,,46,38,Sr,-80649,-80649.57,1.243,8677.5,12    0.015 B-  -6755
6,,45,39,Y,-73894,-73894.431,4.299,8587.7,80    0.051 B-  -2472
4,,44,40,Zr,-71421,,5.499,8549.0,29    0.065 B- -10202
2,,43,41,Nb,-61218,,13.041,8418.2,52    0.155 B-  -7049
0,,42,42,Mo,-54170,,298#,8325#,4#    B- -16470
0 25,,55,30,Zn,-25230,,500#,8092#,6#    B-  14619
23,,54,31,Ga,-39849,,298#,8255#,4#    B-  13274
21,,53,32,Ge,-53123,,3.729,8401.7,68    0.044 B-  10065
19,,52,33,As,-63189,,3.078,8510.9,84    0.036 B-   9224
17,,51,34,Se,-72413,,2.613,8610.3,04    0.031 B-   6161
15,,50,35,Br,-78575,,3.078,8673.5,92    0.036 B-   2904
13,,49,36,Kr,-81480,,2.000,8698.5,62    0.024 B-    687
11,,48,37,Rb,-82167,-82167.33,50    0.0049,8   8697.4,41    0.000 B-  -1064
9,,47,38,Sr,-81103,-81103.28,2.813,8675.7,18    0.033 B-  -3261
7,,46,39,Y,-77842,,18.965,8628.1,48    0.223 B-  -4666
5,,45,40,Zr,-73175,,6.430,8564.0,39    0.076 B-  -6895
3,,44,41,Nb,-66279,,4.099,8473.7,11    0.048 B-  -8769
1,,43,42,Mo,-57509,,15.835,8361.3,31    0.186 B- -11660
0 24,,55,31,Ga,-34080,,400#,8186#,5#    B-  15320
22,,54,32,Ge,-49399,,437.802,8354.6,29    5.091 B-   9562
20,,53,33,As,-58962,,3.450,8456.7,21    0.040 B-  11541
18,,52,34,Se,-70503,,2.520,8581.8,22    0.029 B-   5129
16,,51,35,Br,-75632,,3.078,8632.3,65    0.036 B-   7633
14,,50,36,Kr,-83265,-83265.665,64    0.0036,9   8712.0,29    0.000 B-   -518
12,,49,37,Rb,-n,,0.200,8696.9,01    0.002 B-   1776
10,,48,38,Sr,-84523,-84523.089,35    0.0052,2   8708.4,56    0.000 B-  -5240
8,,47,39,Y,-79283,,14.142,8638.4,28    0.164 B-  -1314
6,,46,40,Zr,-77969,-77969.014,3.566,8614.0,51    0.041 B-  -8834
4,,45,41,Nb,-69134,,5.499,8502.2,22    0.064 B-  -5023
2,,44,42,Mo,-64110,,3.726,8434.7,09    0.043 B- -12540
0,,43,43,Tc,-51570,,300#,8280#,3#    B- -11800
0 25,,56,31,Ga,-29250,,500#,8129#,6#    B-  14828
23,,55,32,Ge,-44078,,300#,8290#,3#    B-  11540
21,,54,33,As,-55617,,2.985,8413.8,51    0.034 B-  10808
19,,53,34,Se,-66426,,2.241,8529.0,91    0.026 B-   7465
17,,52,35,Br,-n,,3.171,8605.9,10    0.036 B-   6817
15,,51,36,Kr,-n,,0.246,8675.2,83    0.003 B-   3888
13,,50,37,Rb,-84597,-84597.791,0.006,8710.9,83    0.000 B-    282
11,,49,38,Sr,-84880,-84880.065,95    0.0051,0   8705.2,36    0.000 B-  -1861
9,,48,39,Y,-83018,,1.128,8674.8,44    0.013 B-  -3671
7,,47,40,Zr,-79347,-79347.137,4.146,8623.6,54    0.048 B-  -5472
5,,46,41,Nb,-73874,,6.802,8551.7,57    0.078 B-  -6989
3,,45,42,Mo,-66884,-66884.808,2.857,8462.4,24    0.033 B-  -9194
1,,44,43,Tc,-57690,,4.192,8347.7,44    0.048 B- -12170
0 24,,56,32,Ge,-40138,,400#,8243#,5#    B-  10582
22,,55,33,As,-50720,,196#,8354#,2#    B-  13164
20,,54,34,Se,-63884,,3.357,8495.0,04    0.038 B-   6831
18,,53,35,Br,-70715,,3.171,8563.7,47    0.036 B-   8975
16,,52,36,Kr,-79691,,2.608,8656.8,49    0.030 B-   2917
14,,51,37,Rb,-82608,-82608.995,0.159,8681.1,15    0.002 B-   5312
12,,50,38,Sr,-87921,-87921.617,93    0.0055,8   8732.5,95    0.000 B-  -3622
10,,49,39,Y,-84299,,1.500,8682.5,39    0.017 B-   -670
8,,48,40,Zr,-83628,-83628.871,5.403,8666.0,33    0.061 B-  -7455
6,,47,41,Nb,-76173,-76173.586,58.810,8572.4,24    0.668 B-  -3487
4,,46,42,Mo,-72686,,3.819,8523.9,08    0.043 B- -11005
2,,45,43,Tc,-61681,,149.039,8389.9,58    1.694 B-  -7342
0,,44,44,Ru,-54340,,300#,8298#,3#    B- -17479
0 25,,57,32,Ge,-33729,,400#,8169#,4#    B-  13069
23,,56,33,As,-46798,,298#,8307#,3#    B-  12194
21,,55,34,Se,-58992,,3.729,8435.2,79    0.042 B-   9281
19,,54,35,Br,-68274,,3.264,8530.7,79    0.037 B-   8261
17,,53,36,Kr,-76535,,2.142,8614.8,15    0.024 B-   5176
15,,52,37,Rb,-81712,-81712.388,5.427,8664.1,89    0.061 B-   4496
13,,51,38,Sr,-86209,-86209.017,0.092,8705.9,22    0.001 B-   1499
11,,50,39,Y,-87708,-87708.352,1.612,8713.9,78    0.018 B-  -2832
9,,49,40,Zr,-84875,-84875.561,3.083,8673.3,59    0.035 B-  -4250
7,,48,41,Nb,-80625,-80625.209,23.631,8616.8,12    0.266 B-  -5610
5,,47,42,Mo,-75014,,3.912,8544.9,84    0.044 B-  -7620
3,,46,43,Tc,-67394,,3.819,8450.5,75    0.043 B-  -9135
1,,45,44,Ru,-58260,,298#,8339#,3#    B- -12400
0 26,,58,32,Ge,-29221,,500#,8118#,6#    B-  12109
24,,57,33,As,-41330,,400#,8244#,4#    B-  14470
22,,56,34,Se,-55800,,329.749,8395.7,66    3.664 B-   8200
20,,55,35,Br,-64000,,3.357,8478.1,86    0.037 B-  10958
18,,54,36,Kr,-74959,,1.863,8591.2,59    0.021 B-   4405
16,,53,37,Rb,-79364,-79364.404,6.484,8631.5,12    0.072 B-   6583
14,,52,38,Sr,-85948,-85948.127,2.124,8695.9,72    0.024 B-    545
12,,51,39,Y,-86494,-86494.062,1.611,8693.3,45    0.018 B-   2278
10,,50,40,Zr,-88772,-88772.535,0.118,8709.9,69    0.001 B-  -6111
8,,49,41,Nb,-82661,-82661.519,3.317,8633.3,76    0.037 B-  -2489
6,,48,42,Mo,-80172,-80172.503,3.463,8597.0,28    0.038 B-  -9447
4,,47,43,Tc,-70724,,1.025,8483.3,59    0.011 B-  -5840
2,,46,44,Ru,-64883,-64883.792,3.730,8409.7,68    0.041 B- -13184
0,,45,45,Rh,-51700,,300#,8255#,3#    B- -11990
0 25,,58,33,As,-36896,,400#,8193#,4#    B-  13684
23,,57,34,Se,-50580,,433.145,8334.8,37    4.760 B-  10527
21,,56,35,Br,-n2p,,3.544,8441.9,23    0.039 B-   9866
19,,55,36,Kr,-70973,,2.236,8541.7,51    0.025 B-   6771
17,,54,37,Rb,-77745,-77745.037,7.801,8607.5,61    0.086 B-   5906
15,,53,38,Sr,-83651,-83651.927,5.453,8663.8,75    0.060 B-   2699
