N-Z,N,Z,A,EL,O,MASS EXCESS (keV),BINDING ENERGY/A (keV),BETA-DECAY ENERGY (keV),ATOMIC MASS (micro-u)
38,1.0,26,88,Ra,-a,,5.250,7749.1,71    0.025 B-  -6351
36,1.0,25,89,Ac,-a,,15.360,7715.8,37    0.072 B-  -4251
34,1.0,24,90,Th,-a,,10.661,7692.3,17    0.050 B-  -8790
32,1.0,23,91,Pa,-a,,76.125,7647.5,83    0.356 B-      *
0 55,1.0,35,80,Hg,,,401#,7705#,2#    B-   6297
53,1.0,34,81,Tl,,,298#,7730#,1#    B-   5569
51,1.0,33,82,Pb,,,52.448,7752.7,37    0.244 B-   2712
49,1.0,32,83,Bi,,1629.322,5.624,7761.7,17    0.026 B-   2171
47,1.0,31,84,Po,-541,-541.706,2.121,7768.1,76    0.010 B-    714
45,1.0,30,85,At,-a,,6.799,7767.8,58    0.032 B-    -87
43,1.0,29,86,Rn,-a,,7.672,7763.8,14    0.036 B-  -1486
41,1.0,28,87,Fr,-a,,7.066,7753.2,60    0.033 B-  -2215
39,1.0,27,88,Ra,-a,,7.613,7739.3,16    0.035 B-  -3496
37,1.0,26,89,Ac,-a,,12.406,7719.4,13    0.058 B-  -4890
35,1.0,25,90,Th,-a,,8.840,7693.0,25    0.041 B-  -6942
33,1.0,24,91,Pa,-a,,72.845,7657.0,96    0.339 B-  -7059
31,1.0,23,92,U,-a,,88.490,7620.6,24    0.412 B-      *
0 56,1.0,36,80,Hg,,,401#,7690#,2#    B-   5142
54,1.0,35,81,Tl,,,298#,7710#,1#    B-   7238
52,1.0,34,82,Pb,,,196#,7740#,1#    B-   1606
50,1.0,33,83,Bi,,,11.178,7743.4,99    0.052 B-   4091
48,1.0,32,84,Po,,1782.42,1.816,7758.8,19    0.008 B-   -474
46,1.0,31,85,At,-a,,3.575,7753.0,02    0.017 B-   2003
44,1.0,30,86,Rn,-a,,5.994,7758.6,57    0.028 B-  -2718
42,1.0,29,87,Fr,-a,,4.173,7742.4,51    0.019 B-   -320
40,1.0,28,88,Ra,-a,,8.737,7737.3,47    0.040 B-  -4853
38,1.0,27,89,Ac,-a,,10.840,7711.2,56    0.050 B-  -2153
36,1.0,26,90,Th,-a,,12.042,7697.6,62    0.056 B-  -7500
34,1.0,25,91,Pa,-a,,53.526,7659.3,14    0.248 B-  -5267
32,1.0,24,92,U,-a,,28.093,7631.3,07    0.130 B-      *
0 55,1.0,36,81,Tl,,,401#,7695#,2#    B-   6073
53,1.0,35,82,Pb,,,298#,7719#,1#    B-   3510
51,1.0,34,83,Bi,,,17.698,7731.8,48    0.082 B-   2846
49,1.0,33,84,Po,,,6.544,7741.3,60    0.030 B-   1488
47,1.0,32,85,At,,4394.635,5.001,7744.6,16    0.023 B-    736
45,1.0,31,86,Rn,-a,,4.198,7744.4,03    0.019 B-   -656
43,1.0,30,87,Fr,-a,,6.531,7737.7,75    0.030 B-  -1575
41,1.0,29,88,Ra,-a,,7.202,7726.9,11    0.033 B-  -2814
39,1.0,28,89,Ac,-a,,11.389,7710.3,38    0.052 B-  -3502
37,1.0,27,90,Th,-a,,10.614,7690.5,94    0.049 B-  -4862
35,1.0,26,91,Pa,-a,,15.918,7664.5,80    0.073 B-  -5905
33,1.0,25,92,U,-a,,71#,7634#,0#    B-      *
0 56,1.0,37,81,Tl,,,400#,7674#,2#    B-   7727
54,1.0,36,82,Pb,,,298#,7706#,1#    B-   2237
52,1.0,35,83,Bi,,,27.013,7712.8,27    0.124 B-   4859
50,1.0,34,84,Po,,8356.901,1.973,7731.5,28    0.009 B-    258
48,1.0,33,85,At,-a,,11.604,7729.1,26    0.053 B-   2880
46,1.0,32,86,Rn,,5217.347,2.316,7738.7,52    0.011 B-  -1841
44,1.0,31,87,Fr,-a,,4.757,7726.7,15    0.022 B-    407
42,1.0,30,88,Ra,-a,,11.176,7724.9,98    0.051 B-  -4192
40,1.0,29,89,Ac,-a,,50.740,7702.1,77    0.233 B-  -1523
38,1.0,28,90,Th,-a,,10.516,7691.6,02    0.048 B-  -6317
36,1.0,27,91,Pa,-a,,18.329,7659.0,36    0.084 B-  -3210
34,1.0,26,92,U,-a,,13.714,7640.7,19    0.063 B-      *
0 55,1.0,37,82,Pb,,,401#,7686#,2#    B-   3996
53,1.0,36,83,Bi,,,196#,7700#,1#    B-   3601
51,1.0,35,84,Po,,,15.835,7713.3,33    0.072 B-   2285
49,1.0,34,85,At,,10396.076,3.237,7720.1,96    0.015 B-   1566
47,1.0,33,86,Rn,,8829.402,2.100,7723.7,77    0.010 B-    211
45,1.0,32,87,Fr,-a,,7.039,7721.1,71    0.032 B-   -776
43,1.0,31,88,Ra,-a,,8.258,7714.0,53    0.038 B-  -2175
41,1.0,30,89,Ac,-a,,50.497,7700.5,49    0.231 B-  -2901
39,1.0,29,90,Th,-a,,50.576,7683.7,25    0.231 B-  -4068
37,1.0,28,91,Pa,-a,,51.516,7661.5,74    0.235 B-  -4746
35,1.0,27,92,U,-a,,50.775,7636.3,29    0.232 B-  -6170
33,1.0,26,93,Np,-a,,88.354,7604.5,83    0.403 B-      *
0 56,1.0,38,82,Pb,,,401#,7672#,2#    B-   2850
54,1.0,37,83,Bi,,,298#,7682#,1#    B-   5555
52,1.0,36,84,Po,,,17.698,7703.2,24    0.080 B-    887
50,1.0,35,85,At,,,13.972,7703.7,03    0.064 B-   3763
48,1.0,34,86,Rn,,10612.077,1.815,7717.2,54    0.008 B-   -870
46,1.0,33,87,Fr,-a,,4.028,7709.7,42    0.018 B-   1212
44,1.0,32,88,Ra,-a,,8.237,7711.6,96    0.037 B-  -3473
42,1.0,31,89,Ac,-a,,6.129,7692.3,51    0.028 B-   -925
40,1.0,30,90,Th,-a,,22.166,7684.5,89    0.101 B-  -5549
38,1.0,29,91,Pa,-a,,51#,7656#,0#    B-  -2715
36,1.0,28,92,U,-a,,101#,7640#,0#    B-  -7378
34,1.0,27,93,Np,,,196#,7603#,1#    B-      *
0 55,1.0,38,83,Bi,,,298#,7668#,1#    B-   4324
53,1.0,37,84,Po,,,19.561,7684.4,81    0.089 B-   2991
51,1.0,36,85,At,,,13.972,7694.4,75    0.063 B-   2311
49,1.0,35,86,Rn,,,5.714,7701.3,93    0.026 B-   1194
47,1.0,34,87,Fr,,13277.29,4.886,7703.2,56    0.022 B-    313
45,1.0,33,88,Ra,-a,,4.630,7701.1,35    0.021 B-  -1559
