A,elt,Z,S(n),S(p),Q(4B-),"Q(d,a)","Q(p,a)","Q(n,a)"
36,S,16,9889.0,0.0,13095.0,1.0,24212.0,40.0
36,Cl,17,8579.0,0.0,7964.0,0.0,44873.0,11120.0
37,Mg,12,240.0,110.0,25380.0,55107.0,698.0,691.0
37,Al,13,4212.0,234.0,17859.0,713.0,41571.0,180.0
37,Si,14,2206.0,134.0,19810.0,187.0,24376.0,113.0
37,P,15,6816.0,40.0,13848.0,81.0,5804.0,37.0
37,S,16,4303.0,0.0,13934.0,13.0,13760.0,0.0
37,Cl,17,10310.0,0.0,8386.0,0.0,35282.0,7795.0
38,Al,13,1671.0,415.0,19290.0,792.0,46007.0,374.0
38,Si,14,5670.0,154.0,21268.0,208.0,30544.0,104.0
38,P,15,3696.0,81.0,15339.0,134.0,14179.0,72.0
38,S,16,8036.0,7.0,15154.0,38.0,4802.0,7.0
38,Cl,17,6107.0,0.0,10190.0,0.0,25549.0,11576.0
38,Ar,18,11838.0,0.0,10242.0,0.0,45584.0,5517.0
39,Al,13,3631.0,20713.0,50450.0,3150.0,5134.0,20006.0
39,Si,14,1580.0,171.0,21178.0,398.0,35562.0,135.0
39,P,15,6224.0,134.0,15893.0,153.0,21032.0,112.0
39,S,16,4372.0,50.0,15830.0,88.0,4120.0,50.0
39,Cl,17,8073.0,1.0,10227.0,7.0,15627.0,24.0
39,Ar,18,6598.0,5.0,10733.0,5.0,35442.0,9230.0
40,Al,13,1132.0,21974.0,55148.0,4227.0,4243.0,20298.0
40,Si,14,4961.0,370.0,22510.0,40469.0,345.0,69.0
40,P,15,3411.0,190.0,17723.0,204.0,25421.0,153.0
40,S,16,7746.0,50.0,17352.0,112.0,12008.0,3.0
40,Cl,17,5828.0,32.0,11684.0,59.0,7034.0,32.0
40,Ar,18,9869.0,5.0,12528.0,1.0,26189.0,160.0
40,K,19,7799.0,0.0,7582.0,5.0,45705.0,11890.0
41,Si,14,1381.0,653.0,22759.0,45187.0,554.0,2180.0
41,P,15,4936.0,195.0,17698.0,365.0,30579.0,120.0
41,S,16,4242.0,5.0,18183.0,153.0,16129.0,4.0
41,Cl,17,7820.0,75.0,11758.0,68.0,1335.0,68.0
41,Ar,18,6098.0,0.0,12798.0,32.0,17369.0,27.0
41,K,19,10095.0,0.0,7808.0,0.0,35880.0,8393.0
42,Si,14,3721.0,24239.0,50892.0,409.0,684.0,20159.0
42,P,15,2081.0,336.0,18398.0,637.0,36031.0,314.0
42,S,16,6700.0,4.0,19946.0,120.0,20909.0,2.0
42,Cl,17,5595.0,90.0,13112.0,59.0,7289.0,59.0
42,Ar,18,9426.0,5.0,14404.0,68.0,9318.0,5.0
42,K,19,7533.0,0.0,9243.0,0.0,27402.0,10728.0
42,Ca,20,11480.0,0.0,10276.0,0.0,45277.0,5699.0
43,Si,14,1440.0,24288.0,55111.0,392.0,375.0,19603.0
43,P,15,4401.0,637.0,19079.0,41255.0,554.0,3270.0
43,S,16,2629.0,5.0,20494.0,314.0,26213.0,4.0
43,Cl,17,7399.0,85.0,13810.0,61.0,12028.0,61.0
43,Ar,18,5658.0,7.0,14467.0,59.0,2688.0,8.0
43,K,19,9624.0,0.0,9441.0,5.0,18659.0,42.0
43,Ca,20,7932.0,0.0,10675.0,0.0,36439.0,7861.0
44,P,15,2301.0,19940.0,46232.0,4691.0,3195.0,17323.0
44,S,16,5080.0,7.0,21173.0,554.0,32264.0,5.0
44,Cl,17,4296.0,149.0,15478.0,136.0,17431.0,136.0
44,Ar,18,8734.0,5.0,15802.0,61.0,4875.0,1.0
44,K,19,7277.0,0.0,11060.0,5.0,11665.0,181.0
44,Ca,20,11131.0,0.0,12182.0,0.0,28108.0,4264.0
44,Sc,21,9699.0,2.0,6696.0,1.0,44846.0,11442.0
45,P,15,2922.0,20202.0,52215.0,3209.0,3994.0,18854.0
45,S,16,2856.0,1035.0,21729.0,36822.0,1035.0,2041.0
45,Cl,17,5949.0,192.0,16347.0,136.0,22809.0,136.0
45,Ar,18,5168.0,1.0,16675.0,136.0,9239.0,0.0
45,K,19,8905.0,0.0,11231.0,1.0,4729.0,1.0
45,Ca,20,7414.0,0.0,12319.0,0.0,21297.0,35.0
45,Sc,21,11327.0,1.0,6892.0,0.0,35822.0,8047.0
45,Ti,22,9532.0,1.0,8482.0,1.0,52772.0,7889.0
46,S,16,3742.0,22549.0,43479.0,600.0,524.0,17115.0
46,Cl,17,3668.0,249.0,17158.0,1056.0,27901.0,208.0
46,Ar,18,8073.0,1.0,18799.0,136.0,14354.0,1.0
46,K,19,6869.0,0.0,12932.0,0.0,1661.0,0.0
46,Ca,20,10398.0,2.0,13812.0,2.0,13667.0,11.0
46,Sc,21,8760.0,0.0,8238.0,0.0,29192.0,10418.0
46,Ti,22,13189.0,0.0,10344.0,0.0,45038.0,4398.0
47,S,16,1041.0,22889.0,49714.0,2481.0,1784.0,15497.0
47,Cl,17,3992.0,17409.0,34557.0,4921.0,4289.0,14584.0
47,Ar,18,3664.0,1.0,18795.0,208.0,19571.0,1.0
47,K,19,8369.0,1.0,13228.0,1.0,6294.0,1.0
47,Ca,20,7276.0,0.0,14219.0,2.0,7781.0,6.0
